title,description,url,user_name,project_title,stars
3D,3D modeling is the process of virtually developing the surface and structure of a 3D object.,https://github.com/topics/3d,mrdoob,three.js
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com/topics/ajax,ljianshu,Blog
Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics/algorithm,jwasham,coding-interview-university
Amp,Amp is a non-blocking concurrency library for PHP.,https://github.com/topics/amphp,amphp,amp
Android,Android is an operating system built by Google designed for mobile devices.,https://github.com/topics/android,flutter,flutter
Angular,Angular is an open source web application platform.,https://github.com/topics/angular,justjavac,free-programming-books-zh_CN
Ansible,Ansible is a simple and powerful automation engine.,https://github.com/topics/ansible,ansible,ansible
API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics/api,public-apis,public-apis
Arduino,Arduino is an open source hardware and software company and maker community.,https://github.com/topics/arduino,arendst,Tasmota
ASP.NET,ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics/aspnet,dotnet,AspNetCore.Docs
Atom,Atom is a open source text editor built with web technologies.,https://github.com/topics/atom,atom,atom
Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome,sindresorhus,awesome
Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics/aws,serverless,serverless
Azure,Azure is a cloud computing service created by Microsoft.,https://github.com/topics/azure,bregman-arie,devops-exercises
Babel,"Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics/babel,babel,babel
Bash,Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics/bash,jlevy,the-art-of-command-line
Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics/bitcoin,bitcoin,bitcoin
Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics/bootstrap,twbs,bootstrap
Bot,A bot is an application that runs automated tasks over the Internet.,https://github.com/topics/bot,ccxt,ccxt
C,C is a general purpose programming language that first appeared in 1972.,https://github.com/topics/c,Genymobile,scrcpy
Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome,electron,electron
Chrome extension,Chrome extensions enable users to customize the Chrome browsing experience.,https://github.com/topics/chrome-extension,iamadamdev,bypass-paywalls-chrome
Command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics/cli,ohmyzsh,ohmyzsh
Clojure,"Clojure is a dynamic, general-purpose programming language.",https://github.com/topics/clojure,metabase,metabase
Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics/code-quality,realm,SwiftLint
Code review,Ensure your code meets quality standards and ship with confidence.,https://github.com/topics/code-review,ovity,octotree
Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler,vercel,next.js
Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics/continuous-integration,localstack,localstack
COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://github.com/topics/covid-19,CSSEGISandData,COVID-19
C++,C++ is a general purpose and object-oriented programming language.,https://github.com/topics/cpp,CyC2018,CS-Notes
